   x;            aproximation;         native function
0.00;    -0.00333203103383956;     0.00000000000000000
0.10;    -0.00931895211601415;     0.00047007680635346
0.20;     0.00011844672139419;     0.00405331623766273
0.30;     0.01910564966843907;     0.01376944994983779
0.40;     0.04242014062593803;     0.03115623839002797
0.50;     0.06549140320547302;     0.05515063141382429
0.60;     0.08440092072939021;     0.08148762593577828
0.70;     0.09588217623080017;     0.10278364919346010
0.80;     0.09732065245357753;     0.10938176782916502
0.90;     0.08675383185236150;     0.09090877464573173
1.00;     0.06287119659255549;     0.03836039535411321
1.10;    -0.03136098907863016;    -0.05358662951825630
1.20;    -0.26548427667367724;    -0.18441769247443551
1.30;    -0.45286547357983592;    -0.34618911962853471
1.40;    -0.59534975180237770;    -0.52287954828530381
1.50;    -0.69486550320721574;    -0.69096451412486171
1.60;    -0.75342433952090371;    -0.82134379607110919
1.70;    -0.77312109233063420;    -0.88256168872276564
1.80;    -0.75613381308424310;    -0.84505605700848507
1.90;    -0.70472377309020162;    -0.68598032882411986
2.00;    -0.37129421362997661;    -0.39399185357516620
2.10;     0.01502349124574209;     0.02668428233641748
2.20;     0.54929748776005027;     0.55360597219112462
2.30;     1.15359160039565012;     1.14547387167465486
2.40;     1.75352588034461832;     1.74390712339274190
2.50;     2.27827660550888567;     2.27777667421124308
2.60;     2.66057628050022288;     2.66992116980001670
2.70;     2.83671363664052478;     2.84573758937807675
2.80;     2.74653363196151190;     2.74283060403874801
2.90;     2.33343745120413359;     2.32066278513762381
3.00;     1.52431049665761975;     1.56900972070609712
3.10;     0.53704317616569597;     0.51401807923669474
3.20;    -0.77124527710799384;    -0.77919451805796747
3.30;    -2.22426617377811908;    -2.20817295386078660
3.40;    -3.65769767370693444;    -3.63935471111628317
3.50;    -4.91918478601860443;    -4.91875854957544423
3.60;    -5.86833936907487441;    -5.88645315908267541
3.70;    -6.37674013049593214;    -6.39360720558390838
3.80;    -6.32793262715085802;    -6.32048567395869476
3.90;    -5.61742926516058105;    -5.59346338318300873
4.00;    -4.12166437385849349;    -4.19902295861963015
4.10;    -2.23270513622128419;    -2.19282182579679663
4.20;     0.28433945304686858;     0.29774111420116406
4.30;     3.10637933682801304;     3.07847088777210498
4.40;     5.93246072117972290;     5.90111938092468513
4.50;     8.48376607524323845;     8.48338167780241470
4.60;    10.50361413134760369;    10.53475155290274756
4.70;    11.75745988494963967;    11.78606331209415536
4.80;    12.03289459462303057;    12.01993230607476448
4.90;    11.13964578209561296;    11.09893714855659752
5.00;     8.90957723225892551;     8.98832484230652717
5.10;     5.83375546472234419;     5.77029916257743558
5.20;     1.66876941955160873;     1.64757204171835747
5.30;    -3.10964592484378954;    -3.06522020722603594
5.40;    -8.01223017087795597;    -7.96248234193561366
5.50;   -12.58048579141723167;   -12.57997621641126251
5.60;   -16.38667812966014026;   -16.43617792499195929
5.70;   -19.03383539925744117;   -19.07922262676240521
5.80;   -20.15574868426301691;   -20.13510535654711830
5.90;   -19.41697193909385533;   -19.35230698651952963
6.00;   -16.51282198867011175;   -16.63797659714059662
